# Position [m],Scalar_Field [GeV],Effective_Mass [GeV],Metric_Factor,Gamma_Mu [GeV]
-3.000000e-15,3.035881e+07,3.317967e+01,1.000000e+00,5.529945e+05
-2.993994e-15,3.147164e+07,3.551408e+01,1.000000e+00,5.930887e+05
-2.987988e-15,3.262290e+07,3.800694e+01,1.000000e+00,6.359955e+05
-2.981982e-15,3.381384e+07,4.066859e+01,1.000000e+00,6.819053e+05
-2.975976e-15,3.504573e+07,4.351000e+01,1.000000e+00,7.310207e+05
-2.969970e-15,3.631988e+07,4.654284e+01,1.000000e+00,7.835574e+05
-2.963964e-15,3.763763e+07,4.977949e+01,1.000000e+00,8.397452e+05
-2.957958e-15,3.900039e+07,5.323310e+01,1.000000e+00,8.998286e+05
-2.951952e-15,4.040956e+07,5.691764e+01,1.000000e+00,9.640679e+05
-2.945946e-15,4.186664e+07,6.084792e+01,1.000000e+00,1.032740e+06
-2.939940e-15,4.337312e+07,6.503967e+01,1.000000e+00,1.106139e+06
-2.933934e-15,4.493057e+07,6.950957e+01,1.000000e+00,1.184580e+06
-2.927928e-15,4.654059e+07,7.427532e+01,1.000000e+00,1.268394e+06
-2.921922e-15,4.820482e+07,7.935571e+01,1.000000e+00,1.357937e+06
-2.915916e-15,4.992497e+07,8.477065e+01,1.000000e+00,1.453585e+06
-2.909910e-15,5.170276e+07,9.054125e+01,1.000000e+00,1.555740e+06
-2.903904e-15,5.353999e+07,9.668990e+01,1.000000e+00,1.664826e+06
-2.897898e-15,5.543852e+07,1.032403e+02,1.000000e+00,1.781297e+06
-2.891892e-15,5.740022e+07,1.102177e+02,1.000000e+00,1.905632e+06
-2.885886e-15,5.942705e+07,1.176486e+02,1.000000e+00,2.038344e+06
-2.879880e-15,6.152101e+07,1.255612e+02,1.000000e+00,2.179974e+06
-2.873874e-15,6.368415e+07,1.339856e+02,1.000000e+00,2.331098e+06
-2.867868e-15,6.591860e+07,1.429533e+02,1.000000e+00,2.492328e+06
-2.861862e-15,6.822653e+07,1.524979e+02,1.000000e+00,2.664313e+06
-2.855856e-15,7.061017e+07,1.626549e+02,1.000000e+00,2.847743e+06
-2.849850e-15,7.307181e+07,1.734617e+02,1.000000e+00,3.043349e+06
-2.843844e-15,7.561382e+07,1.849583e+02,1.000000e+00,3.251906e+06
-2.837838e-15,7.823861e+07,1.971866e+02,1.000000e+00,3.474240e+06
-2.831832e-15,8.094867e+07,2.101911e+02,1.000000e+00,3.711222e+06
-2.825826e-15,8.374657e+07,2.240190e+02,1.000000e+00,3.963779e+06
-2.819820e-15,8.663492e+07,2.387199e+02,1.000000e+00,4.232893e+06
-2.813814e-15,8.961643e+07,2.543466e+02,1.000000e+00,4.519606e+06
-2.807808e-15,9.269385e+07,2.709546e+02,1.000000e+00,4.825021e+06
-2.801802e-15,9.587004e+07,2.886028e+02,1.000000e+00,5.150308e+06
